Article,Year,Main Contribution
Richter2022,2022,Proposes a learning-based mutation operator using masked language models to generate realistic bugs for benchmarks.
Akli2023,2023,Introduces the first few-shot learning approach using CodeBERT and Siamese networks to classify flaky tests.
Cardoso2023,2023,Evaluating DRL-MOBTEST's performance in generating test cases for Android apps.
Ding2023-1,2023,Introduces a deep learning pipeline for cross-function null pointer detection in C++.
Happe2023,2023,"Use of LLMs as AI sparring partners for penetration testing, including high-level task planning and low-level vulnerability hunting."
He2023-2,2023,Proposes a learning-based approach that uses property-specific vectors to control code generation security.
Kang2023,2023,"Introducing LIBRO, an LLM-based framework that automatically generates bug-reproducing tests from general bug reports."
LeTraon2023,2023,Discusses challenges in testing ML-enabled software and proposes adversarial input generation for robustness.
Nguyen2023,2023,Proposes a GPT-based approach for automated API test generation.
Tsigkanos2023,2023,Uses LLMs to extract variables from scientific software manuals for metamorphic testing.
Zimmermann2023,2023,Proposes a GUI testing method using GPT-3 to interpret natural language test cases.
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.
Garcia2024,2024,Empirical study on ChatGPT-assisted development of automated E2E test scripts for Android apps using Gherkin.
Hagar2024,2024,Explores prompt engineering to improve AI's effectiveness in solving software testing problems.
He2024-3,2024,"Introducing UniTSyn, a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation."
Hoffmann2024-1,2024,"Demonstrating the effectiveness of fine-tuning smaller, resource-efficient LLMs for mobile app test generation."
Jiang2024-2,2024,Conduct the first systematic comparison between LLMs and constraint-based tools for directed test input generation.
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.
Liu2024-5,2024,Developing a domain-adapted LLM for VLSI design that outperforms general models on chip design tasks.
Piya2024,2024,LLM-guided iterative code generation using test-driven development.
Pornphol2024,2024,Verification of relational completeness in SQL codes generated by ChatGPT.
Qin2024,2024,Case study on using GenAI for FOV analysis in VR exploration testing.
Ouedraogo2024,2024,Evaluation of four LLMs and five prompt engineering techniques for unit test generation compared to EvoSuite.
Rozo-TorresAlexanderandSarmiento2024,2024,A general framework for integrating prompt engineering tools into video game development workflows.
Ryan2024,2024,Code-aware prompting strategy for LLMs to improve test generation coverage.
Shi2024-1,2024,Demonstrate through user studies that preemptive prompting in LLM-assisted test case development improves branch coverage.
Su2024-1,2024,Proposing a novel approach combining LLMs and knowledge graphs  to generate highly feasible test scenarios.
Vito2024,2024,"Exploring LLM applications for automating software engineering tasks, specifically issue report classification and test scenario generation."
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.
WhiteJulesandHays2024,2024,"A catalog of prompt patterns for software engineering, classified by problem types and their application."
Xiao2024-1,2024,Empirically demonstrating that strategic LLM intervention at different stages of search-based test generation.
Xue2024-1,2024,"Proposes LLM4Fin, a fully automated approach combining LLMs and algorithmic methods to generate high-coverage FinTech test cases."
Xue2024-2,2024,Demonstrates that domain-specific knowledge integration significantly enhances LLM-generated test cases.
Xu2024-3,2024,Proposes an LLM-based approach that automatically deduces reusable input transformations from hard-coded test cases.
Yang2024-1,2024,Introduces the first test-free fault localization approach using bidirectional adapter layers on LLMs.
Yang2024-4,2024,Conducting the first comprehensive empirical evaluation of open-source LLMs for unit test generation.
Yuan2024,2024,"Proposes a ChatTester, a ChatGPT-based approach with iterative refinement that improves unit test generation."
