Article,Year,Main Contribution
Grano2019,2019,Study on the maintainability of unit tests generated by automated tools identifying prevalent test smells.
Liu2020,2020,Deep learning-based SQLi testing tool for generating semantically sophisticated test cases.
Roy2021,2021,Proposes an approach combining template-based methods and deep learning to improve test case readability.
Degiovanni2022,2022,Introduces a mutation testing tool using CodeBERT to generate mutants.
Jilani2022,2022,Proposes a search-based approach for automated generation of valid test models that satisfy meta-model constraints.
Richter2022,2022,Proposes a learning-based mutation operator using masked language models to generate realistic bugs for benchmarks.
Tufano2022,2022,Transformer-based approach for generating accurate assert statements in unit tests improving over RNN and T5 baselines.
Akli2023,2023,Introduces the first few-shot learning approach using CodeBERT and Siamese networks to classify flaky tests.
Cardoso2023,2023,Evaluating DRL-MOBTEST's performance in generating test cases for Android apps.
Fatima2023,2023,Proposes a black-box language model-based predictor for flaky test cases that relies exclusively on test case source code.
Gomez-Abajo2023,2023,Model-driven engineering approach to automate the construction of metamorphic testing environments for specific domains.
He2023-2,2023,Proposes a learning-based approach that uses property-specific vectors to control code generation security.
Kang2023,2023,Introducing LIBRO an LLM-based framework that automatically generates bug-reproducing tests from general bug reports.
KwonSunjaeandJang2023-2,2023,Proposes the first CodeBERT-based Just-In-Time defect prediction model for edge-cloud systems.
Li2023,2023,Framework for testing and repairing black-box LLM-based code completion systems using program structure-consistent mutations.
Nguyen2023,2023,Proposes a GPT-based approach for automated API test generation.
Ojdanic2023,2023,Compares four mutation testing tools (µBERT IBIR DeepMutation PIT) in fault detection and cost-effectiveness.
Alshahwan2024-2,2024,Presenting TestGen-LLM Meta's automated test improvement tool that uses LLMs to enhance human-written tests.
Bergsmann2024,2024,Demonstrates the feasibility of using multi-agent LLM systems to autonomously execute Gherkin test scenarios.
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.
Dakhel2024,2024,Mutation testing-based approach (MuTAP) to improve LLM-generated test cases' effectiveness in bug detection.
Fakhoury2024,2024,TiCoder workflow enhances LLM-based code generation trust by generating tests to formalize ambiguous prompt.
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.
Garcia2024,2024,Empirical study on ChatGPT-assisted development of automated E2E test scripts for Android apps using Gherkin.
Garg2024,2024,Studies CodeBERT-generated mutants' coupling with software vulnerabilities.
He2024-3,2024,Introducing UniTSyn a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation.
Huynh2024,2024,Proposing an LLM-based approach for mining and testing constraints in REST API testing.
Jiang2024-2,2024,Conduct the first systematic comparison between LLMs and constraint-based tools for directed test input generation.
KouemoNgassom2024,2024,Self-refinement method using targeted Verification Questions to improve reliability of LLM-generated code.
Le2024,2024,Presents an AI-driven approach using GPT to generate test cases for RESTful APIs.
Leotta2024-1,2024,Demonstrating that AI models can reduce test script development time for web end-to-end testing.
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.
Liu2024-5,2024,Developing a domain-adapted LLM for VLSI design that outperforms general models on chip design tasks.
Lohiya2024,2024,Proposes an approach combining LLM-generated diverse seeds with combinatorial testing to enhance fuzzing effectiveness.
Maddala2024,2024,Proposes LAAG-RV an LLM-based framework for generating SystemVerilog Assertions from natural language specifications.
Molina2024,2024,Introduces FIXCHECK combining random testing and LLMs to generate fault-revealing tests for incorrect patches.
Munley2024,2024,Exploration of LLMs for automated test generation and validation of OpenACC compiler implementations.
Plein2024,2024,Investigating the feasibility of using LLMs to automatically generate test cases from bug reports.
Pornphol2024,2024,Verification of relational completeness in SQL codes generated by ChatGPT.
Qin2024,2024,Case study on using GenAI for FOV analysis in VR exploration testing.
Rahman2024-1,2024,Bibliometric and content analysis mapping the literature on AI in language learning.
Ryan2024,2024,Code-aware prompting strategy for LLMs to improve test generation coverage.
Schfer2024,2024,Presents TestPilot an LLM-based tool for JavaScript unit test generation achieving high coverage without additional training.
Shi2024-1,2024,Demonstrate through user studies that preemptive prompting in LLM-assisted test case development improves branch coverage.
Su2024-1,2024,Proposing a novel approach combining LLMs and knowledge graphs  to generate highly feasible test scenarios.
Vito2024,2024,Exploring LLM applications for automating software engineering tasks specifically issue report classification and test scenario generation.
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.
Widyasari2024,2024,Demonstrating that diverse LLMs outperform ChatGPT in Software Quality Assurance tasks.
Xiao2024-1,2024,Empirically demonstrating that strategic LLM intervention at different stages of search-based test generation.
Xu2024-3,2024,Proposes an LLM-based approach that automatically deduces reusable input transformations from hard-coded test cases.
Xue2024-1,2024,Proposes LLM4Fin a fully automated approach combining LLMs and algorithmic methods to generate high-coverage FinTech test cases.
Xue2024-2,2024,Demonstrates that domain-specific knowledge integration significantly enhances LLM-generated test cases.
Yang2024-1,2024,Introduces the first test-free fault localization approach using bidirectional adapter layers on LLMs.
Yang2024-4,2024,Conducting the first comprehensive empirical evaluation of open-source LLMs for unit test generation.
Yuan2024,2024,Proposes a ChatTester a ChatGPT-based approach with iterative refinement that improves unit test generation.
Zilberman2024,2024,Evaluates LLMs' capability to generate tests for verifying their own code revealing quality concerns in generated tests.
