Article,Year,Main Contribution
Grano2019,2019,"Study on the maintainability of unit tests generated by automated tools, identifying prevalent test smells."
Paz2019,2019,"Introduces SpecML, a modeling language for avionics software requirements supporting DO-178C certification."
Siqueira2021,2021,"Systematic literature review on testing adaptive and context-aware systems, characterizing approaches, challenges, and trends."
Liu2022,2022,Automated test sequence generation approach using mutation testing for FBD programs.
Richter2022,2022,Proposes a learning-based mutation operator using masked language models to generate realistic bugs for benchmarks.
Viggiato2022,2022,Automated framework to analyze natural language test cases and provide recommendations using LLM and data mining.
Akli2023,2023,Introduces the first few-shot learning approach using CodeBERT and Siamese networks to classify flaky tests.
Happe2023,2023,"Use of LLMs as AI sparring partners for penetration testing, including high-level task planning and low-level vulnerability hunting."
Kang2023,2023,"Introducing LIBRO, an LLM-based framework that automatically generates bug-reproducing tests from general bug reports."
Marques2023,2023,SelectNLTest: A module to remove duplicate test scripts and improve readability of test cases using NLP techniques.
Tsigkanos2023,2023,Uses LLMs to extract variables from scientific software manuals for metamorphic testing.
Talebipour2023,2023,Avgust tool for automating the construction of usage-based tests for mobile apps by learning usage patterns.
Alshahwan2024-2,2024,"Presenting TestGen-LLM, Meta's automated test improvement tool that uses LLMs to enhance human-written tests."
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.
Fakhoury2024,2024,TiCoder workflow enhances LLM-based code generation trust by generating tests to formalize ambiguous prompt.
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.
Garcia2024,2024,Empirical study on ChatGPT-assisted development of automated E2E test scripts for Android apps using Gherkin.
He2024-3,2024,"Introducing UniTSyn, a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation."
Leotta2024-1,2024,Demonstrating that AI models can reduce test script development time for web end-to-end testing.
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.
Rozo-TorresAlexanderandSarmiento2024,2024,A general framework for integrating prompt engineering tools into video game development workflows.
Santos2024,2024,"Examination of global AI guidelines for media, highlighting themes like transparency and fairness."
Su2024-1,2024,Proposing a novel approach combining LLMs and knowledge graphs  to generate highly feasible test scenarios.
Shi2024-1,2024,Demonstrate through user studies that preemptive prompting in LLM-assisted test case development improves branch coverage.
Vito2024,2024,"Exploring LLM applications for automating software engineering tasks, specifically issue report classification and test scenario generation."
Winkler2024,2024,Study on the readability of test code and related influence factors addressing a gap in research.
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.
Xu2024-3,2024,Proposes an LLM-based approach that automatically deduces reusable input transformations from hard-coded test cases.
Xue2024-1,2024,"Proposes LLM4Fin, a fully automated approach combining LLMs and algorithmic methods to generate high-coverage FinTech test cases."
Yang2024-4,2024,Conducting the first comprehensive empirical evaluation of open-source LLMs for unit test generation.
Yuan2024,2024,"Proposes a ChatTester, a ChatGPT-based approach with iterative refinement that improves unit test generation."
