Article,Year,Main Contribution
Fidalgo2020,2020,Proposes a deep learning model to classify PHP code slices as vulnerable to SQL injection.
Degiovanni2022,2022,Introduces a mutation testing tool using CodeBERT to generate mutants.
Richter2022,2022,Proposes a learning-based mutation operator using masked language models to generate realistic bugs for benchmarks.
Akli2023,2023,Introduces the first few-shot learning approach using CodeBERT and Siamese networks to classify flaky tests.
Cardoso2023,2023,Evaluating DRL-MOBTEST's performance in generating test cases for Android apps.
Ding2023-1,2023,Introduces a deep learning pipeline for cross-function null pointer detection in C++.
He2023-2,2023,Proposes a learning-based approach that uses property-specific vectors to control code generation security.
Happe2023,2023,"Use of LLMs as AI sparring partners for penetration testing, including high-level task planning and low-level vulnerability hunting."
Ojdanic2023,2023,"Compares four mutation testing tools (µBERT, IBIR, DeepMutation, PIT) in fault detection and cost-effectiveness."
Tihanyi2023,2023,Creation of a large collection of AI-generated C programs with vulnerability classification using formal verification.
Zimmermann2023,2023,Proposes a GUI testing method using GPT-3 to interpret natural language test cases.
Kang2023,2023,"Introducing LIBRO, an LLM-based framework that automatically generates bug-reproducing tests from general bug reports."
Nguyen2023,2023,Proposes a GPT-based approach for automated API test generation.
Alshahwan2024-2,2024,"Presenting TestGen-LLM, Meta's automated test improvement tool that uses LLMs to enhance human-written tests."
Boukhlif2024,2024,Comparative study on the use of LLMs in intelligent software testings.
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.
Fakhoury2024,2024,TiCoder workflow enhances LLM-based code generation trust by generating tests to formalize ambiguous prompt.
Feldt2024,2024,Presents a taxonomy of LLM-based testing agents by autonomy level and demonstrates their potential as testing assistants.
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.
Garcia2024,2024,Empirical study on ChatGPT-assisted development of automated E2E test scripts for Android apps using Gherkin.
Garg2024,2024,Studies CodeBERT-generated mutants' coupling with software vulnerabilities.
He2024-3,2024,"Introducing UniTSyn, a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation."
Hoffmann2024-1,2024,Demonstrating the effectiveness of fine-tuned smaller LLMs for mobile app test generation.
Jiang2024-2,2024,Conduct the first systematic comparison between LLMs and constraint-based tools for directed test input generation.
Jorgensen2024,2024,Proposing an LLM-based approach to automatically generate test cases for genetic programming agents.
Leotta2024-1,2024,Demonstrating that AI models can reduce test script development time for web end-to-end testing.
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.
Liu2024-5,2024,Developing a domain-adapted LLM for VLSI design that outperforms general models on chip design tasks.
Lohiya2024,2024,Proposes an approach combining LLM-generated diverse seeds with combinatorial testing to enhance fuzzing effectiveness.
Piya2024,2024,LLM-guided iterative code generation using test-driven development.
Pornphol2024,2024,Verification of relational completeness in SQL codes generated by ChatGPT.
Porter2024,2024,"Extends software correctness to include interrogation and diagnosis, with case studies on classifiers and LLMs."
Shi2024-1,2024,Demonstrate through user studies that preemptive prompting in LLM-assisted test case development improves branch coverage.
Su2024-1,2024,Proposing a novel approach combining LLMs and knowledge graphs  to generate highly feasible test scenarios.
Qi2024,2024,"Comprehensive review of LLM-based testing techniques, discussing optimization of test code generation and input diversity."
Qin2024,2024,Case study on using GenAI for FOV analysis in VR exploration testing.
Rahman2024-1,2024,Bibliometric and content analysis mapping the literature on AI in language learning.
TerziAnastasiaandBibi2024,2024,Patterns of developer interaction with ChatGPT regarding prompt characteristics and code integration.
Vito2024,2024,"Exploring LLM applications for automating software engineering tasks, specifically issue report classification and test scenario generation."
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.
Widyasari2024,2024,Demonstrating that diverse LLMs outperform ChatGPT in Software Quality Assurance tasks.
Xu2024-1,2024,"Proposes automatically synthesize metamorphic relations from test cases in OSS projects, enhancing test adequacy and coverage."
Xue2024-2,2024,Demonstrates that domain-specific knowledge integration significantly enhances LLM-generated test cases.
Xu2024-3,2024,Proposes an LLM-based approach that automatically deduces reusable input transformations from hard-coded test cases.
Yang2024-1,2024,Introduces the first test-free fault localization approach using bidirectional adapter layers on LLMs.
Yang2024-4,2024,Conducting the first comprehensive empirical evaluation of open-source LLMs for unit test generation.
Yuan2024,2024,"Proposes a ChatTester, a ChatGPT-based approach with iterative refinement that improves unit test generation."
Zilberman2024,2024,"Evaluates LLMs' capability to generate tests for verifying their own code, revealing quality concerns in generated tests."
