Article,Year,Main Contribution
Liu2020,2020,Deep learning-based SQLi testing tool for generating semantically sophisticated test cases.
Degiovanni2022,2022,Introduces a mutation testing tool using CodeBERT to generate mutants.
Dakhama2023,2023,Combines LLM and search-based fuzzing to test C programs.
Guilherme2023,2023,Evaluation of OpenAI LLM for generating Java unit tests comparing metrics like code coverage and mutation scores.
Happe2023,2023,Use of LLMs as AI sparring partners for penetration testing including high-level task planning and low-level vulnerability hunting.
He2023-2,2023,Proposes a learning-based approach that uses property-specific vectors to control code generation security.
Kang2023,2023,Introducing LIBRO an LLM-based framework that automatically generates bug-reproducing tests from general bug reports.
Khaliq2023,2023,AI-based method for automated test case generation from UI structure using object detection text detection and NLP models.
Lemieux2023,2023,Integration of LLMs (Codex) with SBST to generate test cases for under-covered functions
Ojdanic2023,2023,Compares four mutation testing tools in fault detection and cost-effectiveness.
Zimmermann2023,2023,Proposes a GUI testing method using GPT-3 to interpret natural language test cases.
Alagarsamy2024,2024,DL-based test case generation (A3Test) enhanced with assertion knowledge and test signature verification.
Alshahwan2024-2,2024,Presenting TestGen-LLM Meta's automated test improvement tool that uses LLMs to enhance human-written tests.
Bergsmann2024,2024,Demonstrates the feasibility of using multi-agent LLM systems to autonomously execute Gherkin test scenarios.
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.
Dakhel2024,2024,Mutation testing-based approach (MuTAP) to improve LLM-generated test cases' effectiveness in bug detection.
Garcia2024,2024,Empirical study on ChatGPT-assisted development of automated E2E test scripts for Android apps using Gherkin.
ElHaji2024,2024,Evaluation of GitHub Copilot's test generation usability including impact of code commenting strategies.
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.
Garg2024,2024,Studies CodeBERT-generated mutants' coupling with software vulnerabilities.
Haji2024,2024,Evaluates GitHub Copilot's test generation within existing suites and highlighting usability challenges.
He2024-1,2024,Large language models for test-free fault localization
He2024-3,2024,Introducing UniTSyn a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation.
Hoffmann2024-1,2024,Demonstrating the effectiveness of fine-tuned smaller LLMs for mobile app test generation.
Huynh2024,2024,Proposing an LLM-based approach for mining and testing constraints in REST API testing.
Jiang2024-1,2024,Systematic study comparing LLMs and constraint-based tools for directed input generation in testing.
Jiang2024-2,2024,Conduct the first systematic comparison between LLMs and constraint-based tools for directed test input generation.
Jiri2024,2024,Explores LLMs' ability to generate comprehensive unit tests focusing on Python and analyzing missing test cases.
Jorgensen2024,2024,Proposing an LLM-based approach to automatically generate test cases for genetic programming agents.
Kim2024-1,2024,LLM-based approach (RESTGPT) for improving REST API testing by extracting rules from natural-language descriptions.
Le2024,2024,Presents an AI-driven approach using GPT to generate test cases for RESTful APIs.
Leotta2024-1,2024,Demonstrating that AI models can reduce test script development time for web end-to-end testing.
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.
Lohiya2024,2024,Proposes an approach combining LLM-generated diverse seeds with combinatorial testing to enhance fuzzing effectiveness.
Maddala2024,2024,Proposes LAAG-RV an LLM-based framework for generating SystemVerilog Assertions from natural language specifications.
Molina2024,2024,Introduces FIXCHECK combining random testing and LLMs to generate fault-revealing tests for incorrect patches.
Munley2024,2024,Exploring LLM capabilities for OpenACC compiler validation through test generation.
Nguyen2023,2023,Proposes a GPT-based approach for automated API test generation.
Piya2024,2024,LLM-guided iterative code generation using test-driven development.
Plein2024,2024,Investigating the feasibility of using LLMs to automatically generate test cases from bug reports.
Pornphol2024,2024,Verification of relational completeness in SQL codes generated by ChatGPT.
KhaliLi2024,2024,Framework for evaluating semantic matching in test case reuse across Android apps.
Qin2024,2024,Case study on using GenAI for FOV analysis in VR exploration testing.
Richter2022,2022,Proposes a learning-based mutation operator using masked language models to generate realistic bugs for benchmarks.
Ryan2024,2024,Code-aware prompting strategy for LLMs to improve test generation coverage.
Salcedo2024,2024,Demonstrates GPT-4's potential to accelerate vector processor SoC design and verification.
Schfer2024,2024,Presents TestPilot an LLM-based tool for JavaScript unit test generation achieving high coverage without additional training.
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.
Widyasari2024,2024,Demonstrating that diverse LLMs outperform ChatGPT in Software Quality Assurance tasks.
Xiao2024-1,2024,Empirically demonstrating that strategic LLM intervention at different stages of search-based test generation.
Xu2024-3,2024,Proposes an LLM-based approach that automatically deduces reusable input transformations from hard-coded test cases.
Xue2024-1,2024,Proposes LLM4Fin a fully automated approach combining LLMs and algorithmic methods to generate high-coverage FinTech test cases.
Yang2024-1,2024,Introduces the first test-free fault localization approach using bidirectional adapter layers on LLMs.
Yang2024-4,2024,Conduct the first comprehensive empirical evaluation of open-source LLMs for unit test generation.
Yoon2024,2024,Introduces DroidAgent an autonomous GUI testing agent for Android using LLMs achieving higher activity coverage.
Yuan2024,2024,Proposes a ChatTester a ChatGPT-based approach with iterative refinement that improves unit test generation.
