Article,Year,Main Contribution
Polo2020,2020,Automated generation of executable test suites with oracles using annotated regular expressions.
Roy2021,2021,Proposes an approach combining template-based methods and deep learning to improve test case readability.
AftabJilani2022,2022,"Development of a fault model for Data Science applications, validated through literature survey, interviews, and quantitative analysis."
Jilani2022,2022,Proposes a search-based approach for automated generation of valid test models that satisfy meta-model constraints.
Degiovanni2022,2022,Introduces a mutation testing tool using CodeBERT to generate mutants.
Richter2022,2022,Proposes a learning-based mutation operator using masked language models to generate realistic bugs for benchmarks.
Liu2022,2022,"Techniques for computing natural-language labels for end-to-end UI test cases using DOM information, implemented in CrawLabel."
Akli2023,2023,Introduces the first few-shot learning approach using CodeBERT and Siamese networks to classify flaky tests.
Cardoso2023,2023,Evaluating DRL-MOBTEST's performance in generating test cases for Android apps.
Ding2023-1,2023,Introduces a deep learning pipeline for cross-function null pointer detection in C++.
Gomez-Abajo2023,2023,Model-driven engineering approach to automate the construction of metamorphic testing environments for specific domains.
He2023-2,2023,Proposes a learning-based approach that uses property-specific vectors to control code generation security.
Marques2023,2023,SelectNLTest: A module to remove duplicate test scripts and improve readability of test cases using NLP techniques.
Nguyen2023,2023,Proposes a GPT-based approach for automated API test generation.
Kang2023,2023,"Introducing LIBRO, an LLM-based framework that automatically generates bug-reproducing tests from general bug reports."
Singhal2023,2023,Analysis of challenges in creating test suites for LLM-generated code proposing strategies to improve capabilities in this area.
Zimmermann2023,2023,Proposes a GUI testing method using GPT-3 to interpret natural language test cases.
Alshahwan2024,2024,"LLM-based tool for automatically improving existing human-written tests, validated at Meta."
Chen2024-1,2024,Introduces ChatUniTest an LLM-based unit test generation framework with adaptive context and validation-repair mechanisms.
Feng2024,2024,Proposing a cost-effective UI automation testing approach combining LLMs with retrieval-augmented generation and machine learning.
Garcia2024,2024,Empirical study on ChatGPT-assisted development of automated E2E test scripts for Android apps using Gherkin.
He2024-3,2024,"Introducing UniTSyn, a large-scale multilingual dataset of 2.7 million focal-test pairs that enhances LLMs' unit test generation."
Hoffmann2024-1,2024,Demonstrating the effectiveness of fine-tuned smaller LLMs for mobile app test generation.
Jorgensen2024,2024,Proposing an LLM-based approach to automatically generate test cases for genetic programming agents.
Liu2024-2,2024,Proposes an LLM-based mobile GUI testing framework that formulates testing as a Q\&A task.
Liu2024-5,2024,Developing a domain-adapted LLM for VLSI design that outperforms general models on chip design tasks.
Ryan2024,2024,Code-aware prompting strategy for LLMs to improve test generation coverage.
Pornphol2024,2024,Verification of relational completeness in SQL codes generated by ChatGPT.
Shi2024-1,2024,Demonstrate through user studies that preemptive prompting in LLM-assisted test case development improves branch coverage.
Shi2024-2,2024,Investigation of productivity and creativity in semi-automated LLM-assisted test case development.
Siddiqi2024,2024,"Development and evaluation of Bablibot, an AI chatbot for immunization-related queries in low-resource settings."
Su2024-1,2024,Proposing a novel approach combining LLMs and knowledge graphs  to generate highly feasible test scenarios.
Qi2024,2024,"Comprehensive review of LLM-based testing techniques, discussing optimization of test code generation and input diversity."
Qin2024,2024,Case study on using GenAI for FOV analysis in VR exploration testing.
Vito2024,2024,"Exploring LLM applications for automating software engineering tasks, specifically issue report classification and test scenario generation."
Wang2024-1,2024,Proposes a method that improves LLM-based unit test generation for complex Java methods by decomposing them into slices.
Wang2024-2,2024,Introduces a hybrid testing approach that combines static analysis with LLM-generated test instructions to replicate Android behaviors.
Wang2024-6,2024,Provides a comprehensive survey of studies on LLM applications in software testing.
Widyasari2024,2024,Demonstrating that diverse LLMs outperform ChatGPT in Software Quality Assurance tasks.
Xue2024-1,2024,"Proposes LLM4Fin, a fully automated approach combining LLMs and algorithmic methods to generate high-coverage FinTech test cases."
Xue2024-2,2024,Demonstrates that domain-specific knowledge integration significantly enhances LLM-generated test cases.
Xiao2024-1,2024,Empirically demonstrating that strategic LLM intervention at different stages of search-based test generation.
Yang2024-1,2024,Introduces the first test-free fault localization approach using bidirectional adapter layers on LLMs.
Yang2024-4,2024,Conducting the first comprehensive empirical evaluation of open-source LLMs for unit test generation.
Zilberman2024,2024,"Evaluates LLMs' capability to generate tests for verifying their own code, revealing quality concerns in generated tests."
